id,order_id,product_id,variant_id,quantity,unit_price,total_price,created_at
a670e1c4-1f72-44c0-94f6-af2fec3af082,476ff077-604a-4b4d-81af-7fcf7ec1f4d7,274fb507-6d75-46b0-87f5-8d873644c52c,9bba37b9-5099-4190-a8eb-08fb51c3538b,2,249.00,498.00,2025-08-22 08:55:09.756240+00
95a99516-58cd-41f1-8ac4-11b33bd64f8c,71b103f8-cc19-4884-932c-2a33d62caa2b,b0de0f60-82c8-4e43-a209-4528f01d0b4a,e023286b-ba77-43ea-8ee0-f02e3c772f42,1,299.00,299.00,2025-09-28 11:46:58.756240+00
3b6117d4-3acb-4d34-89e1-ebdfa59e7d6f,71b103f8-cc19-4884-932c-2a33d62caa2b,a72d121a-7487-438d-b961-cbbf19626135,09edce58-18d8-457d-8769-c9ef1763fbfd,1,499.00,499.00,2025-09-28 11:46:58.756240+00
182befde-ddee-49ce-a848-ac9495e4fe2c,1fbef795-1abd-4f9f-850a-41bb18998cf1,80bf27c4-ceeb-45bb-b9d0-3696000167be,e30c40c5-80c2-43fb-814b-8237ad3c2656,2,314.00,628.00,2025-08-16 01:01:26.756240+00
8ca17235-0425-431f-b072-ee848e291f4a,7cb0fff0-49b0-467d-b8dd-83a5b5f738e2,45e64d53-de11-4614-8e1b-3b16aac95357,f3f49c1c-4bc8-4873-96ec-5b00c17077fd,1,159.00,159.00,2025-09-05 19:36:49.756240+00
187d3488-ce28-4d9c-9075-e0025a5fa3ba,e106fca2-a885-455c-9f97-09d371bfd5df,80bf27c4-ceeb-45bb-b9d0-3696000167be,e0a13f2e-ae29-45df-85bd-8465101931e8,1,309.00,309.00,2025-09-03 11:41:48.756240+00
37507898-c4e1-4c8f-80b9-4296bccdb89d,f5c7074f-5da7-4a3e-b853-bc837ce0811e,de2ff47e-217a-4f7d-be31-1b2a9926eda9,40c12a54-1ec6-46b1-b668-829c1653e95c,1,49.00,49.00,2025-08-14 02:20:30.756240+00
2ded0059-eeb0-4039-86c3-456aeb4541bc,bdbf7c13-f73e-4363-a69b-5d56057afa21,aa9058c2-3702-4840-909d-4536f8ef27e7,ef0b69db-be9f-4fbb-be5d-c1e8b694b785,2,114.00,228.00,2025-09-21 14:39:20.756240+00
486e864c-e673-4119-a893-36a0b061200d,e1b34344-4cc6-4873-8d74-2eac4dc5465d,783a36aa-334d-4e88-88cf-65b04f6a0fc3,da5b40b9-dd00-40a2-ae26-61dffaed58d7,2,119.00,238.00,2025-10-06 19:50:42.756240+00
3c0b9f9d-47fe-48d6-992e-0220bc4fc61f,e1b34344-4cc6-4873-8d74-2eac4dc5465d,de2ff47e-217a-4f7d-be31-1b2a9926eda9,40c12a54-1ec6-46b1-b668-829c1653e95c,2,49.00,98.00,2025-10-06 19:50:42.756240+00
bd1678af-5087-47d0-afaf-9cf1ef39e75d,0acd73da-d2cd-4e61-83fd-249a15644895,274fb507-6d75-46b0-87f5-8d873644c52c,9bba37b9-5099-4190-a8eb-08fb51c3538b,2,249.00,498.00,2025-08-23 16:59:57.756240+00
63abdc62-2807-47da-8f8e-9fc9a940818c,0acd73da-d2cd-4e61-83fd-249a15644895,1323fd17-1e4c-4b33-a1a9-6d1ef29bbb23,88b3b2d1-0e1f-4d17-ba34-c8c5fef08b4d,1,144.00,144.00,2025-08-23 16:59:57.756240+00
7ca452b5-7bb8-4036-868b-b3a97e4a4d91,64fae545-bde6-4429-8b83-12dd5fe558d7,a72d121a-7487-438d-b961-cbbf19626135,09edce58-18d8-457d-8769-c9ef1763fbfd,1,499.00,499.00,2025-09-06 05:34:16.756240+00
88fb66a4-df3e-4cf8-aaf3-bac2688a6a8e,64fae545-bde6-4429-8b83-12dd5fe558d7,4f37e0ee-e916-47ea-affc-4d01665bb2db,1f691839-9a4a-46ed-9d11-ec5bc365f1c1,1,349.00,349.00,2025-09-06 05:34:16.756240+00
a2a50663-9907-449b-b69b-f479f08f2aef,b79ed611-f99b-4818-8626-65c96d954e05,5adb709a-3442-4a19-88f1-9ad37b4012bd,a630f4f6-93c4-4ed2-a708-35a4ab1db1d9,1,39.00,39.00,2025-08-28 01:38:59.756240+00
f676f813-b8b6-4008-b284-8139df377fc9,b79ed611-f99b-4818-8626-65c96d954e05,de2ff47e-217a-4f7d-be31-1b2a9926eda9,40c12a54-1ec6-46b1-b668-829c1653e95c,1,49.00,49.00,2025-08-28 01:38:59.756240+00
35cc6693-eabc-4c05-8c29-597ad4f4c233,a74f07ea-b06e-4290-bd60-65ed4c8ed303,783a36aa-334d-4e88-88cf-65b04f6a0fc3,6d67651d-e9b1-48da-aa97-a4dae1a4da1b,1,119.00,119.00,2025-10-06 08:12:15.756240+00
8045d5bc-c195-4477-b3bc-782a2b5fab06,63d5f1ff-e2c3-4716-b567-81c18ea995b3,60a51ad1-ba52-43e5-9218-54e27ca857e0,c3515938-ff12-40d4-8352-daea474192c9,1,564.00,564.00,2025-08-31 20:07:45.756240+00
d317ded1-d558-49b5-99a1-d92a3a57d722,1616349b-f439-4e91-b0fc-7c1a7e049b70,100a25a8-1074-4082-bf3e-619e6bf0ed06,30da0001-042a-477d-8008-90217ac75308,1,89.00,89.00,2025-09-16 06:52:43.756240+00
ff72db40-b49a-4506-8909-5fd234deca70,9c0cb79a-be52-44a9-a2b8-d349a4750d55,b0925a87-018c-48ca-a1dd-fa67f1d7446a,a730fe49-722d-461a-8290-bb61d5823708,1,59.00,59.00,2025-08-17 12:20:48.756240+00
ceaf4606-e798-4e21-aa59-3dec96131996,ce9fac78-2db9-4833-ade3-10f823dd1933,5adb709a-3442-4a19-88f1-9ad37b4012bd,a630f4f6-93c4-4ed2-a708-35a4ab1db1d9,2,39.00,78.00,2025-09-29 02:18:14.756240+00
3669dd6f-5059-41d0-9d66-828e59c43694,010d05f8-00d9-444e-b2e7-f1e7c8b4e395,80bf27c4-ceeb-45bb-b9d0-3696000167be,19e09e7b-c6b5-4623-aae7-03fac4bfe175,1,299.00,299.00,2025-08-13 17:20:26.756240+00
411dc87b-b762-4242-8326-102ae50e1f42,0f896284-2952-4bbf-86ab-f320267a6a2d,d9fd706a-05fe-4cbf-aa17-ef87fba1bb1b,36823b9c-0525-40aa-be51-e57a5bfb6cd1,2,69.00,138.00,2025-09-30 01:54:36.756240+00
4dd715ef-baf5-49c2-a75b-1560b6ce11d9,473b1f55-5a87-45e2-81f9-53a5781578ac,60a51ad1-ba52-43e5-9218-54e27ca857e0,65f8e37b-f8a3-45aa-9094-9ce48c2d783d,2,559.00,1118.00,2025-09-20 12:18:42.756240+00
24a36db2-651d-49b8-acc8-19225e239193,12aec5be-bb82-4409-aa46-9ff42c2dbf74,979f809c-bc8f-4eec-89ce-de32b4175b32,a08e6120-aecf-47ac-b82a-3deeb3e190f1,2,79.00,158.00,2025-10-04 09:20:19.756240+00
8ae5e3a7-e4c8-4651-b04e-51192fa7b722,951f1806-717d-4289-b429-9e141bdc61d8,7a199e8b-b8e1-46d2-beb8-99ba92f52dcd,89584e70-28c5-4717-9d91-e21b64675cc6,1,159.00,159.00,2025-09-04 03:38:43.756240+00
482f65cf-6e18-49e9-a548-d2839655f020,74faa56f-0b4a-4f41-8039-52ce4c0ec932,b6ce3169-694b-4c53-97e3-97364d3c6f4b,f831dfaa-252d-49cd-9359-0e041067c2a7,1,399.00,399.00,2025-09-01 04:24:56.756240+00
47f2c374-f902-4ace-b442-355d8544e046,f3a3c4bf-592c-4467-a88c-707c6403ebca,1d19f678-f760-4786-9b01-1fb8917f0220,768d7e3e-b30a-4302-b609-2e9c40a7b450,1,149.00,149.00,2025-08-22 21:20:20.756240+00
760529ef-2b6b-4832-bec6-0629f661adc9,6c5e2950-0632-4482-a92c-6c157cc9d20d,783a36aa-334d-4e88-88cf-65b04f6a0fc3,1e9df4f6-1130-472b-b946-bfb2d57a399e,1,134.00,134.00,2025-08-22 06:52:34.756240+00
30f9d3c6-ee56-444e-8d6c-bf35006ed7a5,abcd4541-149e-41db-b29b-e82ad98760b5,7a199e8b-b8e1-46d2-beb8-99ba92f52dcd,89584e70-28c5-4717-9d91-e21b64675cc6,1,159.00,159.00,2025-09-10 18:52:59.756240+00
e9b3ae0e-cd39-4da5-b770-288f7bf75ad6,abcd4541-149e-41db-b29b-e82ad98760b5,b6ce3169-694b-4c53-97e3-97364d3c6f4b,3cf62b7f-903d-478b-9456-e4a2fc5e9ed8,1,399.00,399.00,2025-09-10 18:52:59.756240+00
1e1d466f-1d77-4ed2-b7ac-b1e2530e49e2,cac2d3fd-846d-4e32-9adc-ef66535b6913,783a36aa-334d-4e88-88cf-65b04f6a0fc3,da5b40b9-dd00-40a2-ae26-61dffaed58d7,2,119.00,238.00,2025-08-24 06:32:24.756240+00
6f7e5b0c-f793-41c0-bd47-59ac9957b93c,cac2d3fd-846d-4e32-9adc-ef66535b6913,d9fd706a-05fe-4cbf-aa17-ef87fba1bb1b,36823b9c-0525-40aa-be51-e57a5bfb6cd1,1,69.00,69.00,2025-08-24 06:32:24.756240+00
0efe5c4b-b81b-4ebc-a20f-b59a3f9e7353,54398f14-6fac-42b7-9493-82d475fdda89,979f809c-bc8f-4eec-89ce-de32b4175b32,a08e6120-aecf-47ac-b82a-3deeb3e190f1,1,79.00,79.00,2025-09-27 02:50:56.756240+00
e74a7e90-b137-43c4-a82b-dcc5d30e49d2,2c52289b-d6a2-498c-9a86-cd0aaa8ddd12,4b118e6e-16fe-4b89-b29c-17edd6303d62,70a11d7b-a624-4bd5-8b95-7e4f746234c8,1,60.00,60.00,2025-09-09 22:01:15.756240+00
3092dc33-3a91-4824-a8d4-4faf100b4998,6f944123-39ae-4fde-bcd6-ed4db591a788,aa9058c2-3702-4840-909d-4536f8ef27e7,53a0e632-c21a-4e77-b3e0-3a0672b44d6d,1,99.00,99.00,2025-10-07 17:45:05.756240+00
e0c4c4a0-d030-4fc2-a018-9be698affb0b,6f944123-39ae-4fde-bcd6-ed4db591a788,b0de0f60-82c8-4e43-a209-4528f01d0b4a,e023286b-ba77-43ea-8ee0-f02e3c772f42,2,299.00,598.00,2025-10-07 17:45:05.756240+00
797e1afc-5947-4a2e-a444-f953a3462fa4,a07dd2a7-54ea-47fd-a6f1-503f88a11ba3,de2ff47e-217a-4f7d-be31-1b2a9926eda9,40c12a54-1ec6-46b1-b668-829c1653e95c,1,49.00,49.00,2025-09-21 14:52:27.756240+00
3cfa1068-822c-45ca-867d-7ddb952ffe9c,23a619a8-3ac8-43c2-88f3-67279b5a5ab6,274fb507-6d75-46b0-87f5-8d873644c52c,9bba37b9-5099-4190-a8eb-08fb51c3538b,1,249.00,249.00,2025-09-12 09:52:27.756240+00
470f33f3-b40e-4a67-8edd-8df793060353,6c25f7bc-d137-4889-bdf9-56b31f93a160,100a25a8-1074-4082-bf3e-619e6bf0ed06,30da0001-042a-477d-8008-90217ac75308,1,89.00,89.00,2025-10-07 16:03:31.756240+00
e6397c6b-526b-49b2-809c-136a0caa8faf,951903c1-16fb-4331-9a38-bf1fbce204f3,7a199e8b-b8e1-46d2-beb8-99ba92f52dcd,89584e70-28c5-4717-9d91-e21b64675cc6,1,159.00,159.00,2025-08-22 19:55:58.756240+00
