id,user_id,product_id,variant_id,quantity,created_at,updated_at
dc1fe65f-51c0-4e42-8899-a4dcd6ef5495,7dba91f3-cb5a-40ce-9269-30acbde046f1,a72d121a-7487-438d-b961-cbbf19626135,09edce58-18d8-457d-8769-c9ef1763fbfd,1,2025-09-03 16:11:19.756240+00,2025-09-03 16:13:07.756240+00
64c3ae34-74d3-447a-b2a5-a4e73225e4e4,7dba91f3-cb5a-40ce-9269-30acbde046f1,979f809c-bc8f-4eec-89ce-de32b4175b32,a08e6120-aecf-47ac-b82a-3deeb3e190f1,1,2025-08-17 01:50:43.756240+00,2025-08-17 01:51:04.756240+00
c5a632dd-2e2d-477e-9566-30fe123f5ea2,694c59a6-b923-41fc-8683-14b185f3054a,274fb507-6d75-46b0-87f5-8d873644c52c,9bba37b9-5099-4190-a8eb-08fb51c3538b,2,2025-08-22 08:51:30.756240+00,2025-08-22 08:53:17.756240+00
c9cd2902-7d00-4828-b264-aaea5aa23b01,694c59a6-b923-41fc-8683-14b185f3054a,6d056ecb-5e47-44bb-b9ef-d33e87f98d96,78f495d4-109a-4d87-9e88-202641f031d5,1,2025-09-24 12:19:23.756240+00,2025-09-24 12:21:06.756240+00
848e42e1-5e5e-4a02-865e-2cd1713e3fc0,694c59a6-b923-41fc-8683-14b185f3054a,b0de0f60-82c8-4e43-a209-4528f01d0b4a,e023286b-ba77-43ea-8ee0-f02e3c772f42,1,2025-09-28 11:45:13.756240+00,2025-09-28 11:46:32.756240+00
541c9d96-4da8-417e-a854-4013a9f08ffb,694c59a6-b923-41fc-8683-14b185f3054a,a72d121a-7487-438d-b961-cbbf19626135,09edce58-18d8-457d-8769-c9ef1763fbfd,1,2025-09-28 11:45:21.756240+00,2025-09-28 11:46:32.756240+00
404bd2e9-cf7e-4aea-83b5-2fa5c801033f,694c59a6-b923-41fc-8683-14b185f3054a,80bf27c4-ceeb-45bb-b9d0-3696000167be,9e9e1526-9f9e-4a4f-9d26-e46aa416f9f4,1,2025-10-06 10:09:15.756240+00,2025-10-06 10:10:09.756240+00
84fc8787-b449-4d8c-ae57-d4d7a62b1e95,247b42be-a386-445d-a14c-13dc84560097,80bf27c4-ceeb-45bb-b9d0-3696000167be,e30c40c5-80c2-43fb-814b-8237ad3c2656,2,2025-08-16 00:56:42.756240+00,2025-08-16 00:57:44.756240+00
fa1546ff-3b58-443f-b34b-cdee2f325ccb,247b42be-a386-445d-a14c-13dc84560097,b0925a87-018c-48ca-a1dd-fa67f1d7446a,a730fe49-722d-461a-8290-bb61d5823708,1,2025-08-15 16:12:49.756240+00,2025-08-15 16:14:29.756240+00
8afb0280-5d1d-416e-a2e6-a9f6afa43c75,bb73c19e-1d1c-4430-8e84-1f922ebfd19f,4f37e0ee-e916-47ea-affc-4d01665bb2db,470dc25e-8890-40b1-8b49-35160690f55a,1,2025-09-20 16:31:41.756240+00,2025-09-20 16:33:02.756240+00
