id,user_id,product_id,created_at
86956f9f-2b9f-4478-8a63-a0c51801ac52,7dba91f3-cb5a-40ce-9269-30acbde046f1,80bf27c4-ceeb-45bb-b9d0-3696000167be,2025-09-03 16:11:09.756240+00
996c7573-8eb8-45f6-8b24-77841916e258,694c59a6-b923-41fc-8683-14b185f3054a,d9fd706a-05fe-4cbf-aa17-ef87fba1bb1b,2025-08-22 08:51:06.756240+00
a8a0b243-4a3e-4a37-9d23-fce4f20cd9b8,694c59a6-b923-41fc-8683-14b185f3054a,100a25a8-1074-4082-bf3e-619e6bf0ed06,2025-09-24 12:18:56.756240+00
957fdab0-ae90-4f30-8f5c-525659618fab,247b42be-a386-445d-a14c-13dc84560097,4b118e6e-16fe-4b89-b29c-17edd6303d62,2025-08-16 00:56:15.756240+00
2bb3a196-3a1a-4783-939a-98984a51871c,247b42be-a386-445d-a14c-13dc84560097,1d19f678-f760-4786-9b01-1fb8917f0220,2025-08-15 16:12:22.756240+00
c70e5dce-28ca-4025-b85e-9764a51679f3,bb73c19e-1d1c-4430-8e84-1f922ebfd19f,cd548d76-1702-4cf5-a5d1-c2101fac11f2,2025-09-20 16:31:36.756240+00
30c9ae73-506b-40af-98df-20c292ee0cec,bb73c19e-1d1c-4430-8e84-1f922ebfd19f,6d056ecb-5e47-44bb-b9ef-d33e87f98d96,2025-08-20 16:27:36.756240+00
9925ef91-defe-47ec-af76-741062ae168f,bb73c19e-1d1c-4430-8e84-1f922ebfd19f,4f37e0ee-e916-47ea-affc-4d01665bb2db,2025-10-05 20:19:50.756240+00
3cb6f386-ebd8-4adb-91b6-38bb024d87b0,d748c8ec-9b08-4724-9915-3adba92e0974,b0de0f60-82c8-4e43-a209-4528f01d0b4a,2025-09-05 19:30:50.756240+00
28fa48e4-c3aa-4b19-b70c-4768540a872f,d748c8ec-9b08-4724-9915-3adba92e0974,4b118e6e-16fe-4b89-b29c-17edd6303d62,2025-09-26 20:23:41.756240+00
8fea22fe-b6be-42bd-8646-eb39064c3013,f2c95f80-da71-4926-a8b7-3149b4164e45,b0de0f60-82c8-4e43-a209-4528f01d0b4a,2025-09-10 17:48:55.756240+00
c2998f6f-0474-41fd-874e-8cd53b88ffc3,6872cb5b-5430-460e-b2d7-baa38e087eea,b0de0f60-82c8-4e43-a209-4528f01d0b4a,2025-08-20 11:49:48.756240+00
f23ade8e-67df-426e-b4cb-bb8e40b46890,6872cb5b-5430-460e-b2d7-baa38e087eea,4b118e6e-16fe-4b89-b29c-17edd6303d62,2025-09-27 14:46:24.756240+00
fa0d37b1-7ba9-4695-ae56-4566bd1b3ef7,154e0ce8-9429-43ce-b35a-6e8a6a1eea13,80bf27c4-ceeb-45bb-b9d0-3696000167be,2025-08-29 01:41:50.756240+00
6d9f5d5b-45bb-4b36-87be-7c93ef4b5868,154e0ce8-9429-43ce-b35a-6e8a6a1eea13,58bce0b5-fe59-44c4-a5e4-0242444215bf,2025-09-03 11:38:37.756240+00
e99cf779-35a7-4d24-8ee5-2b2c55c075ec,154e0ce8-9429-43ce-b35a-6e8a6a1eea13,a31954ad-5c6c-4a28-9cb0-2c6c3dfe99cd,2025-09-11 19:02:41.756240+00
b00ff881-07cc-4dbd-a2a0-2224469931ff,5494890e-56c4-447e-a82a-7e7332e6711f,a31954ad-5c6c-4a28-9cb0-2c6c3dfe99cd,2025-08-21 14:59:36.756240+00
d2b3828b-cad5-4ad7-8de2-c9da58e6acab,eea8c893-248d-40ad-a747-ed3a7ec298a6,aa9058c2-3702-4840-909d-4536f8ef27e7,2025-09-21 14:35:19.756240+00
3cec709c-bf0b-4793-962a-4be3eb2fcbd6,eea8c893-248d-40ad-a747-ed3a7ec298a6,80bf27c4-ceeb-45bb-b9d0-3696000167be,2025-09-24 09:01:08.756240+00
